City,Cloudiness,Country,Date,Humidity,Lat,Long,MaxTemp,WindSpeed
Novovoronezh,0,RU,1547982000,73,51.31,39.22,21.2,6.71
Bulawayo,36,ZW,1547983282,86,-20.16,28.59,68.55,15.77
Maunabo,20,PR,1547981760,90,18.01,-65.9,71.96,4.7
Fort Nelson,75,CA,1547979720,83,58.81,-122.69,-4.01,3.13
Imeni Poliny Osipenko,36,RU,1547983286,45,52.42,136.49,-15.47,2.01
Narsaq,8,GL,1547981400,48,60.91,-46.05,21.2,25.28
Sungaipenuh,68,ID,1547983289,89,-2.08,101.38,70.71,1.34
Leshukonskoye,80,RU,1547983290,76,64.9,45.76,9.29,2.35
Ilebo,12,CD,1547983291,47,-4.33,20.59,93.12,2.91
Orangeburg,75,US,1547982060,89,33.49,-80.86,55.94,9.17
Melnikovo,88,RU,1547983294,85,56.55,84.09,22.92,7.05
Hirado,40,JP,1547982000,65,33.32,129.49,46.4,9.17
Lethem,12,GY,1547983296,62,3.38,-59.8,81.11,10.18
Falmouth,40,GB,1547981400,87,50.16,-5.07,46.4,9.17
Foam Lake,76,CA,1547983299,67,51.65,-103.53,-10.29,12.64
Cortes,92,PH,1547983300,100,9.28,126.19,72.69,5.37
Bulgan,0,MN,1547983302,45,48.81,103.53,4.65,3.91
Sambava,92,MG,1547983303,100,-14.27,50.17,77.37,7.27
Santiago,0,CL,1547982000,82,-33.44,-70.65,59.0,2.24
Tazmalt,75,DZ,1547978400,71,36.39,4.4,51.8,16.11
Aviles,75,ES,1547980200,81,43.55,-5.92,51.8,8.05
Lagoa,20,PT,1547980200,58,37.14,-8.45,57.2,19.46
Waipawa,0,NZ,1547983310,63,-39.94,176.59,60.59,21.59
Palmer,0,AU,1547982000,53,-34.85,139.16,73.4,10.29
Rocha,0,UY,1547983313,62,-34.48,-54.34,71.52,4.47
Rio Branco,75,BR,1547978400,94,-9.98,-67.82,75.2,2.24
Springdale,1,US,1547981880,91,36.19,-94.13,15.98,3.91
Kjollefjord,68,NO,1547983317,89,70.95,27.35,22.52,9.73
Qianguo,8,CN,1547983319,55,45.12,124.86,3.12,2.68
Tynda,48,RU,1547983320,30,55.15,124.74,-21.9,2.57
Zomin,88,UZ,1547983321,98,39.96,68.4,36.69,0.34
Auki,0,NG,1547983323,31,12.18,6.51,92.76,6.26
Rakai,76,UG,1547983324,88,-0.71,31.4,75.75,2.57
Hofn,0,IS,1547983327,100,64.25,-15.21,36.96,19.01
Pontes e Lacerda,44,BR,1547983100,97,-15.23,-59.33,75.89,4.25
Coihaique,0,CL,1547982000,67,-45.58,-72.07,57.2,8.05
Nanortalik,80,GL,1547983332,100,60.14,-45.24,21.93,11.63
Narrabri,56,AU,1547982000,54,-30.33,149.78,78.8,11.41
Bilibino,24,RU,1547983335,0,68.06,166.44,-36.03,2.35
Arosa,0,CH,1547981400,84,46.78,9.68,24.8,1.12
Iqaluit,5,CA,1547982000,74,63.75,-68.52,-23.81,3.36
Oriximina,92,BR,1547983339,98,-1.77,-55.87,76.61,2.57
Trelew,0,AR,1547983340,29,-43.25,-65.31,78.72,4.14
Harper,1,US,1547981700,84,30.3,-99.24,30.74,3.47
The Valley,20,AI,1547982000,69,18.22,-63.06,75.2,10.29
Bhairab Bazar,0,BD,1547982000,50,24.06,90.98,75.2,2.68
Samarai,92,PG,1547983346,100,-10.62,150.67,77.87,7.27
Paliyad,0,IN,1547983347,15,22.26,71.56,91.19,7.38
Gornopravdinsk,80,RU,1547983348,87,60.06,69.92,21.26,4.59
Nagato,40,JP,1547982000,53,34.35,131.14,50.0,16.11
Papenburg,0,DE,1547981700,86,53.08,7.39,30.2,4.7
Roald,0,NO,1547981400,68,62.58,6.12,30.2,16.11
Nadvoitsy,80,RU,1547983354,75,63.89,34.27,9.51,3.24
Champerico,64,MX,1547983355,70,16.38,-93.6,65.22,14.88
Quballat,20,TN,1547980200,62,36.54,9.66,55.4,8.05
Usinsk,44,RU,1547983358,67,66.0,57.56,-0.89,2.91
Parana,92,BR,1547983359,96,-7.52,-72.89,73.5,3.24
Moose Factory,1,CA,1547978400,65,51.26,-80.61,-36.41,3.36
Santa Rosa,8,AR,1547983363,62,-36.62,-64.29,69.45,18.68
Bend,90,US,1547981760,94,44.06,-121.32,35.6,7.61
Kendari,68,ID,1547983365,82,-3.99,122.52,78.32,2.35
Madras,90,US,1547981760,100,44.63,-121.13,35.6,3.36
Mnogovershinnyy,0,RU,1547983368,51,53.94,139.92,-18.21,2.13
Santa Fe,64,AR,1547983369,86,-31.62,-60.7,66.57,8.16
Taksimo,24,RU,1547983371,49,56.36,114.84,3.48,4.7
Xunchang,92,CN,1547983372,86,28.45,104.71,44.07,1.34
Gigmoto,92,PH,1547983373,100,13.78,124.39,76.11,19.24
Tame,80,CO,1547983375,94,6.46,-71.72,57.03,0.67
Shubarshi,88,KZ,1547983376,89,48.59,57.19,28.05,9.84
Davila,20,PH,1547982000,69,18.47,120.58,80.6,5.82
Beckley,90,US,1547981520,95,37.78,-81.19,34.34,12.75
Linxia,24,CN,1547983380,76,35.6,103.21,5.24,2.57
Lompoc,1,US,1547981760,89,34.64,-120.46,50.54,3.36
Nabire,92,ID,1547983382,99,-3.36,135.5,69.41,1.68
Alakurtti,20,RU,1547983384,68,66.96,30.34,-5.61,2.46
Jalu,92,LY,1547983385,25,29.03,21.55,61.89,10.96
Ngorongoro,88,TZ,1547983386,87,-3.24,35.49,65.67,3.13
Sinnamary,92,GF,1547983388,93,5.38,-52.96,80.12,13.42
Catuday,64,PH,1547983389,90,16.29,119.81,79.62,5.03
Todos Santos,0,MX,1547983390,98,23.45,-110.23,68.51,10.18
San Carlos de Bariloche,0,AR,1547982000,58,-41.13,-71.31,53.6,3.36
Oktyabrskoye,90,RU,1547982000,92,56.73,85.44,26.6,11.18
Gravdal,75,NO,1547981400,93,59.79,5.78,35.6,16.11
Havelock,90,US,1547981940,100,34.88,-76.9,64.94,24.16
Mukhtolovo,68,RU,1547983397,87,55.47,43.2,19.95,13.2
Ouadda,0,CF,1547983398,20,8.07,22.4,96.09,10.29
Turukhansk,64,RU,1547983399,79,65.8,87.96,-1.38,7.49
Sao Felix do Xingu,68,BR,1547983401,92,-6.64,-51.99,75.21,2.57
Rawson,0,AR,1547983402,29,-43.3,-65.11,78.72,4.14
Egvekinot,36,RU,1547983403,53,66.32,-179.17,-19.07,2.91
Rocky Mountain House,80,CA,1547983404,46,52.38,-114.92,25.26,4.92
Fairbanks,90,US,1547981880,82,64.84,-147.72,-1.67,2.68
Bone,40,ID,1547980200,88,-10.32,123.57,80.6,5.82
Terbuny,56,RU,1547983408,87,52.15,38.28,17.52,10.29
Tygda,8,RU,1547983410,48,53.11,126.33,-16.86,2.68
Mago,0,RU,1547983411,26,53.27,140.15,-17.94,2.35
Half Moon Bay,90,US,1547982900,87,37.46,-122.43,57.92,4.92
Nyurba,76,RU,1547983414,61,63.29,118.35,-7.82,5.26
Gobabis,0,NA,1547983415,19,-22.45,18.97,94.11,14.2
Stillwater,1,US,1547981700,83,36.12,-97.06,19.04,4.7
Praia,0,BR,1547978400,61,-20.25,-43.81,77.0,6.93
Killybegs,0,IE,1547980200,70,54.63,-8.45,44.6,14.99
Galle,1,US,1547981760,69,29.74,-97.91,35.96,12.75
North Bend,90,US,1547981760,96,43.41,-124.22,46.04,3.36
Utete,0,TZ,1547983423,54,-7.99,38.76,94.07,6.38
Valladolid,0,ES,1547980200,80,41.65,-4.73,39.2,6.93
Numan,8,NG,1547983425,27,9.46,12.04,94.97,4.14
Krutinka,88,RU,1547983427,88,56.01,71.51,20.85,9.51
Kuytun,0,RU,1547983428,58,54.34,101.51,4.61,2.68
Dudinka,64,RU,1547983429,78,69.41,86.18,-4.08,9.95
Iranshahr,0,IR,1547982000,19,27.21,60.69,66.2,6.93
Banamba,0,ML,1547983432,25,13.55,-7.45,76.11,13.42
Portland,90,US,1547982660,100,45.52,-122.67,44.06,2.35
Kupang,40,ID,1547980200,88,-10.16,123.6,80.6,5.82
Valleyview,76,CA,1547983436,74,55.07,-117.28,25.31,9.84
Nhulunbuy,40,AU,1547982000,88,-12.18,136.78,82.4,3.36
Poum,40,MK,1547982000,70,41.28,20.71,46.4,1.12
Qaqortoq,64,GL,1547981400,48,60.72,-46.03,21.2,25.28
Lithgow,90,AU,1547982000,78,-33.48,150.16,75.2,5.82
Solnechnyy,56,RU,1547983443,61,50.72,136.64,-7.77,2.35
Chizhou,20,CN,1547983444,88,30.67,117.49,36.56,5.37
Lasa,75,CY,1547982000,62,34.92,32.53,59.0,11.41
Saint-Francois,90,FR,1547980200,93,46.42,3.91,37.4,2.24
Fallon,1,US,1547981760,83,46.84,-105.12,8.96,6.71
Severo-Kurilsk,88,RU,1547983449,100,50.68,156.12,30.89,6.82
Welkom,0,ZA,1547983450,28,-27.98,26.74,82.14,6.82
Aberfeldy,75,GB,1547981400,93,56.62,-3.87,35.6,9.17
Rath,0,IN,1547983453,32,25.59,79.57,78.72,1.68
Nuuk,75,GL,1547981400,72,64.17,-51.74,15.8,9.17
Labuhan,68,ID,1547983456,97,-2.54,115.51,73.82,1.9
Luwuk,8,ID,1547983457,94,-0.95,122.79,80.7,2.68
Baykit,80,RU,1547983458,82,61.68,96.39,13.61,7.72
Les Cayes,8,HT,1547983460,100,18.19,-73.75,77.87,14.76
Araouane,0,ML,1547983461,23,18.9,-3.53,70.35,10.96
Masingbi,0,SL,1547983462,35,8.64,-11.47,89.79,6.71
Saint-Georges,92,CA,1547983164,61,46.12,-70.67,0.6,8.16
Cockburn Town,0,TC,1547983465,100,21.46,-71.14,77.87,18.23
Kattivakkam,20,IN,1547982000,58,13.22,80.32,82.4,11.41
Sao Filipe,0,CV,1547983468,94,14.9,-24.5,71.66,17.45
Iguape,92,BR,1547983469,100,-24.7,-47.56,77.06,6.15
Manokwari,80,ID,1547983470,100,-0.87,134.08,80.79,3.69
Mackay,75,CA,1547982000,92,53.65,-115.58,8.6,6.93
Ambilobe,92,MG,1547983473,97,-13.19,49.05,75.17,13.76
Caceres,44,CO,1547983474,88,5.53,-74.53,65.49,1.57
Sao Miguel do Araguaia,68,BR,1547983476,91,-13.28,-50.16,79.08,4.36
Qasigiannguit,48,GL,1547981400,70,68.82,-51.19,-5.81,5.82
Vallenar,20,CL,1547983478,78,-28.58,-70.76,64.82,2.35
Bereda,40,ES,1547982000,87,43.27,-7.54,51.8,12.75
Mednogorskiy,76,RU,1547983481,52,43.92,41.19,36.87,1.57
Kamphaeng Phet,24,TH,1547983483,66,16.47,99.53,82.86,1.68
Panjab,44,AF,1547983484,75,34.38,67.02,18.56,5.26
Zhicheng,68,CN,1547983485,70,35.04,112.59,30.03,1.9
Yantzaza,90,EC,1547982000,93,-3.83,-78.76,66.2,5.82
Mecca,0,SA,1547983482,42,21.43,39.83,84.48,6.6
Bantou,88,CN,1547983489,95,26.22,117.49,52.44,2.01
Peniche,20,PT,1547980200,71,39.36,-9.38,55.4,13.87
Guerrero Negro,0,MX,1547983492,80,27.97,-114.04,47.49,3.24
Ginda,68,IN,1547983493,79,30.69,78.49,43.94,1.68
Tucurui,64,BR,1547983494,96,-3.77,-49.67,77.28,3.13
Jackville,20,CI,1547980200,58,5.21,-4.42,87.8,5.82
Nagua,20,DO,1547982000,100,19.37,-69.85,64.4,5.93
Garowe,0,SO,1547983499,29,8.41,48.48,89.39,12.19
Manitowoc,1,US,1547981760,75,44.09,-87.66,3.92,14.99
Marsh Harbour,32,BS,1547983501,100,26.54,-77.06,75.66,22.82
Tabou,32,CI,1547983502,100,4.42,-7.36,81.51,4.59
Macau,32,BR,1547983504,74,-5.11,-36.64,84.89,9.06
Salinas,20,US,1547982000,86,36.67,-121.66,53.96,6.93
Mezen,56,RU,1547983507,80,65.85,44.24,-1.47,2.57
Rafiganj,0,IN,1547982000,36,24.82,84.64,75.2,12.75
Yeppoon,76,AU,1547982000,73,-23.13,150.74,77.0,4.7
Igarka,36,RU,1547983510,75,67.47,86.57,-3.32,9.17
Elko,1,US,1547981760,75,40.83,-115.76,37.94,9.17
Sayansk,0,RU,1547983513,59,54.11,102.18,1.05,3.47
Aspindza,0,GE,1547983514,85,41.57,43.25,28.01,2.35
Banda Aceh,68,ID,1547983503,86,5.56,95.32,78.86,3.91
Meulaboh,92,ID,1547983517,100,4.14,96.13,78.0,2.46
Udala,75,ES,1547983080,87,43.08,-2.51,51.8,8.05
Metro,80,ID,1547983521,100,-5.11,105.31,75.03,2.57
Veraval,90,FR,1547980200,100,49.65,0.71,39.2,8.05
Kaliganj,0,BD,1547983523,70,23.41,89.13,67.65,3.36
Grindavik,75,IS,1547982000,86,63.84,-22.43,33.8,32.21
Trat,20,TH,1547982000,83,12.25,102.51,82.4,9.17
Guarapari,0,BR,1547983527,87,-20.67,-40.5,81.51,16.44
Mansehra,92,PK,1547983528,99,34.33,73.2,43.04,1.57
Ulladulla,90,AU,1547982300,100,-35.36,150.48,69.8,4.7
Alekseyevka,75,RU,1547982000,79,53.25,50.49,19.4,6.71
Tura,0,IN,1547983508,79,25.52,90.21,63.02,1.57
Las Choapas,75,MX,1547982000,56,17.91,-94.09,73.4,28.86
San Luis,0,AR,1547983535,46,-33.3,-66.34,71.57,16.67
Beisfjord,75,NO,1547981400,79,68.38,17.6,21.2,9.17
Eyl,0,SO,1547983538,76,7.98,49.82,81.02,20.02
Emba,75,CY,1547982000,62,34.81,32.42,59.0,11.41
San Jeronimito,24,MX,1547983540,100,17.55,-101.33,75.26,4.59
Kamloops,40,CA,1547982000,80,50.68,-120.34,30.2,1.9
Porto Novo,20,BR,1547978400,100,-23.68,-45.44,71.6,4.7
Storslett,0,NO,1547983545,100,69.77,21.03,-13.08,2.35
Zatoka,75,PL,1547982000,79,50.04,20.52,26.6,2.24
Kumluca,92,TR,1547983547,94,36.37,30.29,38.22,2.01
Sembakung,36,ID,1547983548,92,3.82,117.25,78.14,3.69
Churapcha,0,RU,1547983550,0,62.0,132.43,-49.62,2.68
Karangampel,56,ID,1547983551,100,-6.46,108.44,82.05,4.92
Terrace Bay,20,CA,1547983552,100,48.78,-87.1,-10.29,18.45
Acari,8,BR,1547983554,76,-6.44,-36.64,79.26,10.63
Carpentras,90,FR,1547982000,70,44.06,5.05,46.4,2.24
Pangnirtung,32,CA,1547983556,39,66.15,-65.72,-26.13,2.35
Maldonado,20,UY,1547982000,82,-34.91,-54.96,62.6,4.25
Lubao,75,PH,1547982000,61,14.94,120.6,82.4,10.29
Amapa,20,HN,1547982000,100,15.09,-87.97,68.0,2.24
Evensk,44,RU,1547983561,100,61.92,159.24,16.35,18.9
Pineville,90,US,1547982900,69,31.32,-92.43,33.8,13.87
Ajaccio,0,FR,1547982000,50,41.93,8.74,55.4,1.12
